ukprn,provider,total_students,international,fulltime_students,acc_provider_halls,acc_private_halls,acc_parental_home,acc_own_residence,acc_other_rented,acc_other
10004063,London School of Economics and Political Science,12950,8225,12565,3070,400,1740,150,6110,485
10007771,London School of Hygiene and Tropical Medicine,945,505,565,65,55,65,145,195,35
10022285,London School of Management Education,960,15,960,0,0,0,960,0,0
10004075,London School of Theology,260,20,120,25,5,15,40,10,10
10004079,London Studio Centre,305,55,295,0,85,45,0,155,0
10029147,London School of Jewish Studies,30,0,,,,,,,
10062810,The London School of Architecture,125,5,125,0,0,35,45,40,0
10065543,London Brookes College,30,0,30,0,0,0,30,0,0
10004035,The Film Education Training Trust Limited,150,105,150,0,0,0,15,0,135
10067623,The London Interdisciplinary School Ltd,135,5,115,0,5,10,60,40,0
10004113,Loughborough University,18955,3495,17775,6075,1210,1300,595,6050,135
10009612,Luther King House Educational Trust,75,5,20,0,0,5,10,0,0
10042679,International Business College Manchester Limited,50,10,50,0,0,5,40,0,0
10004180,The Manchester Metropolitan University,39395,3645,34315,3160,4375,9810,3350,12880,0
10007798,The University of Manchester,46305,18515,42480,6360,10020,4250,1070,19400,40
10009527,Istituto Marangoni Limited,1355,1200,1355,0,40,40,105,450,50
10023452,The Markfield Institute of Higher Education,115,15,105,5,0,90,0,5,0
10023453,Matrix College of Counselling and Psychotherapy Ltd,110,0,110,0,0,0,110,0,0
10020416,Missio Dei,100,0,60,0,0,15,5,15,20
10030776,St Mellitus College,325,0,195,0,0,25,155,0,15
10004320,The Metanoia Institute,545,0,175,0,0,5,130,0,15
10004351,Middlesex University,15020,4445,12320,260,440,4450,1310,4030,1410
10032277,The Minster Centre,160,5,,,,,,,
10049370,MLA College,105,0,5,0,0,0,0,0,0
10004450,Mountview Academy of Theatre Arts,535,70,525,0,195,95,100,110,25
10023777,Mont Rose College of Management and Sciences Limited,1075,0,1070,0,0,55,785,205,25
10023454,Moorlands College,175,15,95,60,0,0,15,15,0
10055902,Multiverse,8565,0,8510,0,0,0,0,0,0
10001444,National Centre for Circus Arts,70,20,70,0,5,5,15,45,5
10000216,All Nations Christian College Limited,45,15,30,20,0,0,0,5,5
10090839,National Institute of Teaching,835,10,750,0,0,0,750,0,0
10004538,Nazarene Theological College,135,20,70,20,5,5,30,5,0
10030129,Nelson College London Ltd,1875,0,1875,0,0,80,1550,0,205
10023456,Newbold College,100,45,65,45,0,0,20,0,0
10007799,Newcastle University,27230,6025,25835,4245,3730,2090,1335,13345,290
10067406,New Model Institute for Technology and Engineering (NMITE),110,0,110,65,0,40,5,5,0
10048199,Northeastern University London,1060,295,510,30,85,95,50,200,45
10008397,Norland College,320,20,320,0,0,25,5,285,0
10007138,The University of Northampton,13505,2220,10970,2880,390,1705,3940,1650,410
10009614,Grŵp NPTC Group,110,0,30,0,0,25,0,0,0
10008816,Northern School of Contemporary Dance,270,50,260,0,5,15,10,230,0
10004740,Northern College of Acupuncture,145,5,90,0,0,0,90,0,0
10001282,University of Northumbria at Newcastle,29685,7285,25645,4450,1340,5975,3450,9825,600
10004775,Norwich University of the Arts,2765,175,2675,200,640,460,470,900,0
10007154,University of Nottingham,36460,7700,34240,6125,6530,1865,4055,13835,1230
10004797,The Nottingham Trent University,35435,5675,32430,4035,6285,5975,4380,10540,1210
10007773,The Open University,124580,225,250,0,0,5,55,35,0
10004930,Oxford Brookes University,26095,2945,22620,4720,340,3555,7260,3990,2555
10007774,The University of Oxford,26225,9755,20765,15320,420,155,1045,3545,95
10066143,Paris Dauphine International,175,170,175,0,25,5,80,50,15
10083464,Peking University HSBC Business School UK Campus,45,45,45,20,0,0,0,25,0
10004028,"The Place, London Contemporary Dance School (LCDS)",235,75,230,0,15,25,45,140,5
10005127,Arts University Plymouth,1610,60,1505,55,195,290,500,360,80
10007801,University of Plymouth,17945,2130,15185,0,5145,710,2770,6045,5
10019178,Point Blank Music School,855,155,855,0,70,280,150,250,50
10007155,The University of Portsmouth,24015,5880,19285,2905,3010,2865,3020,6265,995
10005337,"Queen Margaret University, Edinburgh",6590,1225,4140,770,0,1260,1880,0,205
10007775,Queen Mary University of London,24640,7900,22595,2750,1240,10005,2240,5265,825
10025197,University Centre Quayside Limited,155,0,155,0,0,0,155,0,0
10009292,Royal Academy of Dramatic Art,195,35,190,0,15,60,70,40,5
10005544,Royal Academy of Dance,200,40,110,0,5,25,10,60,0
10005378,Rambert School,160,65,155,0,0,15,45,90,0
10005389,Ravensbourne University London,8685,2630,8685,0,195,1645,3215,1400,2065
10005470,"Richmond, The American International University in London",1165,1015,1050,25,180,110,35,525,165
10007802,The University of Reading,21370,3850,16250,4860,1250,4740,810,4330,180
10086591,Regent's University London Limited,2625,1830,2295,130,25,40,300,1730,65
10021100,Regents Theological College,165,0,100,60,0,10,20,5,0
10023871,Results Consortium Limited,795,0,795,0,0,0,795,0,0
10062833,Raindance Educational Services Limited,50,20,50,0,0,30,0,20,0
10008455,Regent College London,9140,1490,8685,0,45,505,5550,1050,1530
10005500,Robert Gordon University,14840,2130,9210,785,415,2870,3340,1240,145
10007776,Roehampton University,11945,5560,11080,1375,90,3000,2280,1990,1910
10005523,Rose Bruford College of Theatre and Performance,870,100,830,55,0,135,75,545,5
10007835,Royal Academy of Music,775,385,775,115,55,70,250,225,60
10005545,Royal Agricultural University,925,115,835,255,0,95,30,435,5
10007777,Royal College of Art,2555,1820,2430,195,145,115,760,1145,40
10007778,Royal College of Music,995,480,930,0,470,70,40,325,25
10005561,Royal Conservatoire of Scotland,1230,320,1115,25,310,265,170,315,25
10007816,The Royal Central School of Speech and Drama,1015,260,970,5,30,190,340,350,30
10005553,Royal Holloway and Bedford New College,13115,2190,12405,2920,570,4040,2885,1445,235
10007837,Royal Northern College of Music,935,345,905,180,70,65,55,500,35
10007779,The Royal Veterinary College,2575,965,2305,265,290,320,605,760,60
10007803,The University of St. Andrews,11645,5370,10665,4195,355,75,845,4720,365
10008026,St Mary's University College,1060,80,905,10,65,460,45,305,25
10007843,"St Mary's University, Twickenham",5965,1080,4655,575,40,1780,1410,580,275
10007156,The University of Salford,26030,4975,23020,2755,285,8625,3260,6865,1215
10021256,William Booth College,35,0,10,10,0,0,0,0,0
10008362,London School of Science and Technology Limited,0,0,0,0,0,0,0,0,0
10007780,SOAS University of London,6400,1645,5720,170,1560,2545,405,810,175
10005700,SRUC,1820,35,1260,45,30,510,390,140,35
10005790,Sheffield Hallam University,30765,4385,23250,15,4865,5615,5355,6210,1065
10007157,The University of Sheffield,28280,7935,26155,4105,1455,1715,1145,12555,3790
10023458,The Sherwood Psychotherapy Training Institute Limited,265,0,90,0,0,0,90,0,0
10007158,The University of Southampton,25785,9060,24330,6320,2630,1855,3375,8780,590
10006022,Southampton Solent University,8515,1270,7645,1155,410,1475,2470,1495,455
10088214,S P Jain London School of Management Limited,155,115,75,0,0,25,5,45,0
10006299,University of Staffordshire,17085,705,11000,985,310,3005,4450,1585,405
10008098,Study Group,1945,1945,265,265,0,0,0,0,0
10004747,St Hild College,135,0,20,0,0,0,15,0,0
10007804,The University of Stirling,11750,2165,9960,1465,605,580,4540,2225,315
10037449,University of St Mark and St John,4850,200,4420,195,100,610,2900,565,50
10090767,St Padarn's Institute,210,0,10,0,0,0,5,0,5
10008010,Stranmillis University College,1430,20,865,145,100,440,30,140,10
10022944,Stratford College London (SCL),85,85,85,0,0,0,0,85,0
10007805,The University of Strathclyde,22225,4175,19260,1200,590,8805,4890,2990,530
10014001,University of Suffolk,13590,515,12630,0,230,1885,9490,550,470
10007159,The University of Sunderland,20280,7405,16875,865,640,4530,5880,4265,0
10007160,The University of Surrey,16430,3315,15175,5905,965,3120,1660,3345,65
10007806,The University of Sussex,17290,4380,16080,3750,345,2070,2530,6640,490
10007855,Swansea University,18985,2680,16915,2855,2285,2310,2405,6810,40
10020381,Tavistock and Portman NHS Foundation Trust,1005,30,240,0,5,10,225,0,0
10083403,The Engineering and Design Institute London,165,15,165,5,20,85,20,10,20
10007161,Teesside University,21570,6140,13970,1010,420,3660,3045,5230,365
10082743,ThinkSpace Education Limited,145,5,20,0,0,0,0,0,0
10008017,Trinity Laban Conservatoire of Music and Dance,1315,315,1170,5,275,135,180,535,35
10007858,University of Wales Trinity Saint David,15415,1335,12995,390,165,2290,8100,1605,440
10068157,University Centre Peterborough,395,0,330,0,0,0,330,0,0
10007114,University of the Highlands and Islands,8685,180,4755,10,20,2035,2235,115,340
10007807,Ulster University,32915,10710,26750,1015,1700,8035,3615,10860,1465
10039956,The University of Law,19730,4680,14220,0,500,5520,1470,4385,715
10007784,University College London,51315,26610,44560,9450,3170,8205,3445,18095,1475
10007793,University of South Wales,20790,4565,15065,980,1425,4305,3530,4250,520
10089591,Walbrook Institute London Limited,715,10,195,5,10,125,15,35,5
10029843,Waltham International College Limited,5,0,5,0,0,0,0,0,5
10007163,The University of Warwick,27880,9475,24235,7405,3840,1070,3210,6325,2080
10007361,Waverley Abbey College,260,0,,,,,,,
10007164,"University of the West of England, Bristol",36380,9030,28615,4480,2035,3435,8180,8880,850
10007800,The University of the West of Scotland,19105,5780,16390,505,145,5905,4345,3840,1185
10032288,West Dean College,255,50,160,60,0,25,75,0,0
10006566,The University of West London,17690,4795,16000,1040,320,3080,3835,4615,3100
10007165,The University of Westminster,20940,6350,17470,785,1235,5960,7110,2140,105
10003614,The University of Winchester,6840,350,5890,1585,90,1380,1090,1735,0
10007166,The University of Wolverhampton,23665,3810,17315,985,700,6350,7040,1430,815
10007139,University of Worcester,8755,1325,7355,860,150,2455,1685,1895,165
10007833,Wrexham University,8560,1960,4200,275,80,1025,1280,1135,370
10007713,York St John University,12150,4510,11540,1870,835,1585,2425,4280,280
10007167,The University of York,22345,4150,19760,6405,2245,885,6060,3310,520
