Sort,Station name,"Three Letter Code
(TLC)",National Location Code (NLC),Region,Local authority: district or unitary,Apr 1997 to Mar 1998,Apr 1998 to Mar 1999,Apr 1999 to Mar 2000,Apr 2000 to Mar 2001,Apr 2001 to Mar 2002,Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009,Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2020 to Mar 2021,Apr 2021 to Mar 2022,Apr 2022 to Mar 2023 [b],Apr 2023 to Mar 2024,Apr 2024 to Mar 2025
1290,Kempston Hardwick,KMH,1384,East of England,Bedford,"2,551",887,"1,983","2,014","2,562","3,152",[x],"2,955","4,088","4,394","6,775","8,252","6,350","6,284","7,316","5,626","7,032","7,712","10,022","11,806","9,842","9,692","10,494","1,774","3,154","4,458","2,296","9,782"
1291,Kempton Park Racecourse,KMP,5678,South East,Spelthorne,"9,397","23,114","32,405","26,917",[z],[z],[z],"27,378","5,103","41,191","45,648","48,926","46,788","54,428","57,740","58,928","63,246","71,476","116,492","60,440","55,924","52,822","45,670","6,206","34,240","38,766","50,516","58,120"
1292,Kemsing,KMS,5079,South East,Sevenoaks,"6,909","7,039","9,869","9,745","9,440","9,709",[x],"11,111","11,095","12,357","13,896","15,700","15,084","15,272","19,138","20,024","23,830","23,694","25,362","25,440","25,366","22,476","19,276","3,122","9,478","12,150","15,934","16,834"
1293,Kemsley,KML,5205,South East,Swale,"57,503","79,579","99,186","96,710","119,322","111,832",[x],"118,629","124,670","137,835","154,788","157,150","147,018","144,952","136,448","124,688","129,438","140,950","145,748","148,188","163,436","180,394","194,342","72,874","151,724","153,540","200,242","208,860"
1294,Kendal,KEN,1976,North West,Westmorland and Furness,"95,298","99,163","107,508","102,235","101,924","99,550",[x],"127,738","141,930","156,198","182,958","191,840","207,640","226,348","217,340","224,590","230,522","224,580","215,398","204,026","208,698","172,958","203,452","82,676","182,650","152,530","155,008","180,094"
1295,Kenilworth,KNW,7985,West Midlands,Warwick,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],"170,912","211,896","41,900","78,960","139,132","137,720","181,266"
1296,Kenley,KLY,5419,London,Croydon,"244,648","305,015","340,107","339,122","330,514","322,720",[x],"342,398","374,987","525,376","557,787","475,902","458,624","474,008","482,834","478,790","521,324","526,272","453,114","417,560","411,840","435,588","426,468","88,514","207,390","246,786","266,052","268,508"
1297,Kennett,KNE,7011,East of England,East Cambridgeshire,"8,599","7,463","10,433","11,212","10,727","6,898",[x],"11,167","13,057","16,056","17,675","16,274","14,542","18,878","20,238","27,530","30,992","31,896","35,692","37,150","39,512","42,684","42,516","9,408","36,538","43,782","50,226","53,638"
1298,Kennishead,KNS,9816,Scotland,Glasgow City,"25,035","20,710","19,203","22,918","22,074","19,168",[x],"20,917","30,858","37,747","35,826","40,902","48,688","60,738","67,014","67,688","60,250","65,282","62,120","79,240","84,368","91,806","94,436","24,510","61,740","81,370","92,134","157,902"
1299,Kensal Green,KNL,1447,London,Brent,"933,407","992,249","965,248","996,374","1,034,965","1,048,386",[x],"931,639","881,370","387,149","386,121","448,000","538,126","835,712","938,840","891,474","929,124","884,400","700,526","682,728","657,950","632,316","1,062,492","409,302","843,392","973,688","1,026,784","999,796"
1300,Kensal Rise,KNR,1448,London,Brent,"113,277","266,942","294,085","337,908","297,652","333,303",[x],"200,061","200,527","951,621","996,062","767,154","731,136","1,154,302","1,746,294","2,231,046","2,771,234","2,880,916","2,738,450","2,700,132","2,710,748","2,807,424","2,632,108","1,099,580","1,929,358","2,198,562","2,554,468","2,607,790"
1301,Kensington Olympia,KPA,3092,London,Kensington and Chelsea,"549,527","803,462","886,011","752,039","682,540","762,103",[x],"1,159,086","1,244,273","1,391,740","2,202,539","1,923,962","1,833,537","2,311,792","5,226,636","5,290,538","7,290,836","7,249,102","10,904,840","4,117,608","4,049,392","3,636,880","3,353,060","738,934","1,742,806","2,281,904","2,685,140","2,831,588"
1302,Kent House,KTH,5080,London,Bromley,"413,256","482,724","486,020","517,514","532,470","544,078",[x],"509,862","495,618","747,977","809,927","780,736","761,264","783,116","800,202","835,862","908,442","980,540","1,021,946","1,077,368","1,140,004","1,136,432","1,109,938","250,508","595,186","671,190","779,354","814,336"
1303,Kentish Town,KTN,1553,London,Camden,"115,568","236,344","290,651","282,158","299,838","307,329",[x],"382,561","443,644","1,387,798","1,066,682","884,654","1,136,980","1,377,102","1,506,118","1,694,868","1,869,356","2,238,594","2,844,270","2,732,094","2,819,412","2,696,768","2,856,966","779,356","1,499,210","1,991,724","1,786,866","2,589,668"
1304,Kentish Town West,KTW,1449,London,Camden,"67,170","116,853","138,964","147,709","134,275","143,435",[x],"155,585","190,998","823,619","761,871","567,036","469,630","719,392","1,235,122","1,622,994","1,983,198","2,036,296","2,011,132","2,025,772","1,961,874","2,050,956","1,865,960","701,942","1,344,784","1,545,368","1,886,874","1,886,418"
1305,Kenton,KNT,1399,London,Brent,"229,540","395,377","433,925","363,766","364,880","362,137",[x],"318,304","321,286","300,890","296,394","266,358","413,026","820,316","992,978","1,011,972","1,065,998","1,113,232","1,239,124","1,138,724","1,088,734","1,063,332","1,128,902","514,426","938,670","1,076,884","1,158,158","1,438,022"
1306,Kents Bank,KBK,1966,North West,Westmorland and Furness,"20,934","21,493","21,133","21,739","18,880","17,180",[x],"18,701","19,678","15,560","20,305","21,012","20,572","22,828","20,658","21,186","23,546","26,180","25,348","28,262","28,356","26,354","33,622","9,534","23,956","24,938","26,724","30,544"
1307,Kettering,KET,1857,East Midlands,North Northamptonshire,"609,168","639,993","718,705","760,088","826,367","853,990",[x],"933,270","920,850","1,012,009","1,085,989","1,112,390","989,516","989,418","995,542","1,018,868","1,004,406","1,022,020","1,041,678","1,061,606","1,069,736","1,062,964","1,032,982","257,866","1,113,494","1,007,900","1,063,076","1,136,558"
1308,Kew Bridge,KWB,5593,London,Hounslow,"108,635","290,151","301,526","309,340","316,006","323,991",[x],"235,464","271,445","669,924","853,532","784,376","785,958","871,644","986,312","1,101,810","1,180,500","1,324,466","1,263,168","1,189,898","1,189,340","1,282,132","1,281,490","356,068","809,944","952,424","1,057,046","1,162,156"
1309,Kew Gardens,KWG,5594,London,Richmond upon Thames,"1,233,799","1,684,998","1,740,554","1,639,631","1,625,234","1,741,750",[x],"1,509,652","1,354,836","643,119","627,939","503,760","611,930","726,610","901,874","991,728","1,140,766","1,175,972","1,179,264","1,301,970","1,315,942","1,345,370","1,382,212","412,128","971,560","1,222,640","1,381,772","1,368,612"
1310,Keyham,KEY,3571,South West,Plymouth,"8,421","8,457","10,046","8,585","11,450","8,957",[x],"6,374","7,594","7,976","5,055","5,600","5,016","6,330","7,700","6,540","7,100","6,936","7,338","9,122","7,188","7,516","7,808","3,374","8,786","13,530","17,060","16,126"
1311,Keynsham,KYN,3237,South West,Bath and North East Somerset,"102,253","101,850","112,055","118,047","130,148","138,685",[x],"169,101","187,693","209,593","231,326","257,110","249,842","278,850","306,276","329,274","358,186","412,602","424,032","472,630","454,162","511,642","532,966","87,304","298,478","418,586","510,674","566,218"
1312,Kidbrooke,KDB,5108,London,Greenwich,"534,803","636,429","689,229","713,246","743,402","736,210",[x],"662,065","641,786","919,029","973,450","911,924","862,210","890,802","903,150","945,308","1,125,024","1,314,722","1,552,268","1,573,440","1,525,620","1,524,532","1,557,810","429,728","1,010,574","1,200,958","1,412,220","1,620,822"
1313,Kidderminster,KID,4581,West Midlands,Wyre Forest,"697,086","884,993","710,563","692,788","692,149","679,038",[x],"734,132","805,496","866,145","963,041","1,227,492","1,324,100","1,297,994","1,451,938","1,511,442","1,585,050","1,561,914","1,619,928","1,613,640","1,695,390","1,638,322","1,529,896","371,364","799,082","915,886","1,128,558","1,242,114"
1314,Kidsgrove,KDG,1229,West Midlands,Newcastle-under-Lyme,"44,018","44,240","46,958","43,696","39,609","34,940",[x],"30,850","32,192","43,661","50,194","61,558","103,824","141,158","158,480","165,132","181,710","195,832","205,248","228,396","244,256","235,114","235,864","54,796","189,404","224,386","243,534","287,730"
1315,Kidwelly,KWL,4132,Wales,Carmarthenshire - Sir Gaerfyrddin,"8,867","10,085","12,732","14,041","14,293","14,598",[x],"15,769","15,881","15,059","15,614","18,466","19,696","21,198","23,548","25,270","26,794","31,040","30,644","29,992","28,188","27,596","24,378","4,054","15,544","20,972","26,874","34,566"
1316,Kilburn High Road,KBN,1415,London,Camden,"158,159","222,536","186,930","163,809","184,898","209,437",[x],"69,276","59,041","413,360","611,752","689,882","730,484","1,273,808","1,657,804","1,643,084","1,956,030","1,897,326","924,198","929,190","851,676","815,306","752,218","320,168","586,612","642,316","661,026","758,448"
1317,Kildale,KLD,7516,Yorkshire and The Humber,North Yorkshire,"1,469","1,535","1,570","1,352",931,"1,373",[x],"1,956","1,664","2,160","2,486","2,308","2,006","1,992","2,018","1,822","1,960","1,824","1,610","1,416","1,630","1,468","1,498",386,"1,276","1,372","1,450","1,672"
1318,Kildonan,KIL,8652,Scotland,Highland,189,106,91,101,84,89,[x],145,165,231,244,174,204,142,240,62,144,96,170,76,206,168,214,16,140,148,240,312
1319,Kilgetty,KGT,4083,Wales,Pembrokeshire - Sir Benfro,"7,348","7,989","8,332","8,066","8,048","8,126",[x],"7,794","8,221","9,607","12,103","13,346","13,368","13,602","15,724","17,624","17,066","17,188","15,438","16,194","16,402","15,694","15,670","1,776","8,372","12,352","14,280","17,452"
1320,Kilmarnock,KMK,9512,Scotland,East Ayrshire,"303,613","351,613","399,103","407,593","405,713","397,961",[x],"462,070","455,106","437,685","407,463","397,042","410,154","520,128","587,956","603,018","554,708","612,376","593,410","588,618","619,354","609,292","617,746","78,842","316,898","355,414","412,662","467,114"
1321,Kilmaurs,KLM,9516,Scotland,East Ayrshire,"42,693","48,875","52,927","61,183","65,483","68,012",[x],"68,299","69,436","72,497","73,446","77,640","81,032","95,982","102,142","107,264","105,794","109,788","103,478","104,148","113,546","128,102","115,274","10,072","46,196","58,302","69,916","82,350"
1322,Kilpatrick,KPT,9960,Scotland,West Dunbartonshire,"88,171","98,472","84,780","77,408","64,207","56,646",[x],"63,977","68,119","71,200","75,356","80,562","107,494","119,212","119,406","118,518","125,306","128,482","135,178","128,918","124,860","104,354","103,968","15,420","48,198","66,432","70,598","76,814"
1323,Kilwinning,KWN,9517,Scotland,North Ayrshire,"619,262","698,274","731,039","721,430","720,820","779,887",[x],"846,664","907,945","920,849","909,044","974,444","958,342","982,158","1,011,656","1,048,632","959,873","989,144","1,009,258","1,017,126","1,042,654","1,008,180","938,072","111,346","456,434","591,162","709,802","781,106"
1324,Kinbrace,KBC,8653,Scotland,Highland,630,657,616,613,506,754,[x],518,562,537,737,792,410,448,778,"1,090","1,092",528,456,464,376,510,456,44,370,436,606,406
1325,Kingham,KGM,3008,South East,West Oxfordshire,"110,022","114,723","121,021","125,340","121,519","121,318",[x],"124,462","126,995","131,183","141,310","147,554","137,944","150,890","156,668","169,496","172,006","180,536","184,218","184,260","183,514","181,790","191,518","39,014","162,784","206,270","195,162","251,844"
1326,Kinghorn,KGH,9142,Scotland,Fife,"53,838","56,844","64,010","67,088","70,520","73,114",[x],"90,794","92,776","100,692","94,898","92,416","91,894","91,676","91,764","94,644","97,756","99,826","100,378","98,290","98,218","93,782","94,034","9,342","50,136","69,616","88,298","97,662"
1327,King's Cross Thameslink,[z],[z],[z],[z],"1,441,033","1,580,047","1,917,431","2,218,861","2,251,888","2,361,719",[x],"7,715,813","8,820,810","10,576,611","10,786,165",[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z]
1328,Kings Langley,KGL,1392,East of England,Three Rivers,"324,180","340,087","383,456","365,648","352,786","343,318",[x],"382,760","446,343","509,349","595,820","590,286","573,550","597,562","629,876","668,788","666,230","691,046","731,266","748,842","709,546","724,994","653,446","94,230","281,786","382,240","449,482","507,206"
1329,Kings Lynn,KLN,7115,East of England,King's Lynn and West Norfolk,"391,885","437,809","482,059","520,941","566,961","593,675",[x],"641,668","622,034","656,624","680,230","739,282","750,738","821,772","869,006","879,836","913,458","970,890","973,660","998,316","988,448","991,252","931,394","240,162","683,706","757,034","789,204","853,200"
1330,Kings Norton,KNN,1109,West Midlands,Birmingham,"284,630","296,715","301,255","299,476","313,387","320,368",[x],"366,275","406,690","447,461","481,358","803,682","785,224","792,740","1,103,610","1,091,626","1,141,914","1,145,842","1,236,518","1,289,888","1,361,792","1,509,026","1,512,030","230,802","537,034","675,768","834,758","933,856"
1331,Kings Nympton,KGN,5823,South West,North Devon,"6,875","7,131","4,669","4,476","4,220","4,013",[x],"2,400","1,781","1,009","1,033","1,542","1,984","2,578","3,006","4,482","3,748","3,422","5,758","8,030","6,640","5,000","6,098","2,740","3,118","3,908","4,114","6,498"
1332,Kings Park,KGP,9817,Scotland,Glasgow City,"95,578","89,977","95,242","110,083","99,183","95,040",[x],"95,830","106,393","121,069","126,593","135,592","149,990","164,632","184,996","186,130","173,338","186,778","194,294","216,314","230,862","231,254","206,966","37,134","108,474","147,098","178,392","191,560"
1333,Kings Sutton,KGS,4508,East Midlands,West Northamptonshire,"33,677","35,915","35,886","39,826","43,348","39,745",[x],"40,321","35,215","39,090","44,512","44,388","39,994","44,806","43,918","47,970","51,672","63,340","71,644","67,384","65,400","75,554","82,796","22,494","45,532","54,582","67,132","82,030"
1334,Kingsknowe,KGE,9217,Scotland,City of Edinburgh,"25,534","29,809","24,476","22,061","19,022","14,094",[x],"18,409","18,524","19,942","19,307","20,316","19,710","15,978","17,476","25,342","24,720","21,208","20,150","18,800","20,452","17,196","16,942","4,668","11,214","20,304","33,176","34,444"
1335,Kingston,KNG,5565,London,Kingston upon Thames,"2,152,869","2,723,167","2,658,461","2,709,922","2,551,177","2,642,783",[x],"3,163,324","3,226,866","5,596,609","5,790,757","5,160,632","5,008,774","5,276,390","5,618,396","5,865,428","5,986,660","6,186,850","5,615,666","5,440,164","4,879,570","5,012,744","4,650,286","1,150,134","3,053,908","3,643,910","4,143,270","4,360,664"
1336,Kingswood,KND,5366,South East,Reigate and Banstead,"122,102","158,801","192,093","199,451","222,131","213,916",[x],"263,417","284,818","269,269","289,266","285,950","259,178","277,904","302,302","320,462","316,708","304,002","328,778","266,616","227,984","219,092","220,344","39,432","101,240","134,674","131,292","150,156"
1337,Kingussie,KIN,8655,Scotland,Highland,"17,565","18,856","21,196","19,207","22,584","23,815",[x],"27,725","30,045","32,135","33,416","38,054","35,838","38,544","40,298","40,954","41,400","42,522","42,850","44,200","44,736","40,758","39,254","7,352","25,682","32,978","41,726","42,058"
1338,Kintbury,KIT,3073,South East,West Berkshire,"55,285","48,566","61,320","64,634","60,085","58,869",[x],"59,191","58,164","56,467","59,031","65,676","64,418","64,472","62,238","76,986","85,544","92,552","93,092","99,484","85,420","82,290","95,850","24,414","63,078","65,194","70,722","75,280"
1339,Kintore,KTR,6597,Scotland,Aberdeenshire,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],"8,474","66,168","85,348","118,514","124,436"
1340,Kirby Cross,KBX,6862,East of England,Tendring,"18,371","21,060","21,434","26,075","29,866","37,379",[x],"45,406","37,504","39,149","39,715","44,542","41,508","42,114","42,266","43,816","40,400","40,430","41,618","46,332","46,386","44,782","47,842","13,726","36,664","48,908","58,260","62,896"
1341,Kirk Sandall,KKS,6527,Yorkshire and The Humber,Doncaster,"48,374","66,324","88,563","81,434","80,315","65,403",[x],"101,780","106,633","101,073","101,311","141,912","142,924","158,844","172,068","161,326","95,100","123,056","128,484","124,546","110,636","107,844","123,082","20,996","60,020","49,350","71,328","85,804"
1342,Kirkby (Merseyside),KIR,2124,North West,Knowsley,"408,331","442,016","514,744","447,192","357,938","350,098",[x],"516,007","560,285","639,337","739,590","2,191,476","2,050,590","2,006,486","1,891,982","1,750,270","2,357,814","2,408,810","2,356,170","2,428,340","2,427,778","2,488,916","2,909,204","877,884","1,899,772","2,060,974","1,821,322","1,605,216"
1343,Kirkby Stephen,KSW,2057,North West,Westmorland and Furness,"22,206","23,206","22,768","22,502","19,327","18,617",[x],"23,486","21,623","21,543","24,414","25,590","25,420","30,352","32,080","31,262","30,138","29,768","26,786","19,962","30,146","27,654","30,912","5,572","25,758","29,888","33,666","35,744"
1344,Kirkby-in-Ashfield,KKB,1867,East Midlands,Ashfield,"120,570","133,583","142,020","152,221","151,281","157,630",[x],"155,415","155,102","149,585","139,213","150,980","177,782","166,156","176,020","171,856","147,444","170,916","177,474","178,808","185,220","181,416","176,680","34,602","89,714","106,386","114,636","121,654"
1345,Kirkby-In-Furness,KBF,1959,North West,Westmorland and Furness,"14,571","16,295","15,689","16,457","16,173","14,030",[x],"14,306","15,326","14,689","17,320","10,238","16,094","15,300","15,520","16,620","15,194","14,340","12,596","14,578","14,398","15,530","17,526","4,638","12,562","15,704","20,192","22,706"
1346,Kirkcaldy,KDY,9145,Scotland,Fife,"647,450","729,929","817,943","854,542","861,838","890,768",[x],"1,050,188","1,071,969","1,126,272","1,151,747","1,121,618","1,074,524","989,230","988,488","1,000,270","1,029,702","1,113,898","1,157,650","1,117,694","1,113,236","1,109,834","1,008,276","139,356","578,852","642,242","782,132","856,236"
1347,Kirkconnel,KRK,9518,Scotland,Dumfries and Galloway,"9,249","9,780","11,649","12,951","14,939","15,581",[x],"15,354","16,524","15,373","16,125","17,574","17,494","16,936","18,262","18,500","21,026","20,650","18,622","19,050","21,368","21,816","19,880","1,260","11,190","13,954","19,350","18,724"
1348,Kirkdale,KKD,2245,North West,Liverpool,"300,890","308,904","321,144","334,808","310,239","299,396",[x],"410,808","452,155","441,525","479,342","1,179,346","1,085,418","1,099,018","1,084,206","992,908","854,320","866,218","869,870","893,198","884,302","1,067,562","1,272,022","365,524","850,892","1,033,786","1,053,548","930,362"
1349,Kirkham and Wesham,KKM,2668,North West,Fylde,"184,552","187,095","196,090","202,296","197,547","171,760",[x],"206,172","212,413","214,093","225,599","226,144","219,962","229,314","240,560","246,534","242,272","245,806","258,188","275,492","234,678","235,812","307,970","83,240","269,128","314,886","361,362","397,926"
1350,Kirkhill,KKH,9771,Scotland,South Lanarkshire,"104,536","97,898","96,277","93,254","86,986","81,056",[x],"87,733","93,651","98,180","94,049","92,426","98,280","93,878","91,830","88,316","76,282","74,922","76,068","72,854","69,104","78,116","71,430","5,950","38,876","58,128","65,226","64,162"
1351,Kirknewton,KKN,9230,Scotland,West Lothian,"39,507","44,365","48,606","43,765","40,856","35,067",[x],"49,612","49,917","40,008","40,236","39,242","42,854","39,158","38,486","46,292","42,450","50,912","51,662","47,590","50,202","44,056","50,498","6,036","28,024","39,750","63,714","71,168"
1352,Kirkstall Forge,KLF,6544,Yorkshire and The Humber,Leeds,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],"94,536","150,208","232,386","289,528","57,130","171,986","249,948","300,170","378,822"
1353,Kirkwood,KWD,9766,Scotland,North Lanarkshire,"88,895","96,767","97,387","99,042","99,138","87,473",[x],"107,429","114,357","114,772","120,797","143,386","140,572","139,068","150,274","153,192","130,200","131,580","138,888","166,648","156,822","139,210","147,680","21,684","72,844","94,068","122,426","135,706"
1354,Kirton Lindsey,KTL,6466,Yorkshire and The Humber,North Lincolnshire,188,253,228,170,209,133,[x],163,137,168,126,88,220,224,210,186,120,162,200,358,290,190,272,10,68,94,294,740
1355,Kiveton Bridge,KIV,6401,Yorkshire and The Humber,Rotherham,"23,098","23,525","30,179","24,585","22,904","20,545",[x],"38,614","36,889","39,305","36,754","52,844","57,264","63,364","66,502","63,106","68,140","67,088","58,508","59,850","62,424","67,630","76,772","13,882","48,728","53,514","57,526","69,186"
1356,Kiveton Park,KVP,6565,Yorkshire and The Humber,Rotherham,"15,576","19,783","22,606","20,361","21,047","21,436",[x],"33,287","33,096","31,838","27,272","42,226","46,224","47,526","49,024","53,912","55,456","51,692","52,328","52,384","45,926","46,654","48,590","10,586","32,112","40,674","48,106","58,108"
1357,Knaresborough,KNA,8214,Yorkshire and The Humber,North Yorkshire,"267,425","260,201","275,142","251,652","225,394","211,555",[x],"239,754","248,986","248,655","245,422","257,714","277,722","302,776","325,872","331,308","339,938","353,704","349,516","383,118","386,062","410,710","439,486","116,834","387,240","463,724","506,446","605,486"
1358,Knebworth,KBW,6088,East of England,North Hertfordshire,"298,418","326,704","338,756","312,937","324,986","328,011",[x],"344,003","343,752","392,409","457,813","480,706","471,564","494,182","527,066","550,546","567,100","594,840","589,806","593,672","586,890","561,724","547,168","129,664","317,220","403,504","414,964","436,866"
1359,Knighton,KNI,4206,West Midlands,Shropshire,"20,414","20,057","19,390","18,720","19,444","20,621",[x],"23,251","22,436","19,711","23,911","22,778","23,338","25,076","25,096","24,050","21,930","23,022","21,626","20,714","21,440","21,892","20,988","1,118","9,652","13,582","17,682","19,208"
1360,Knockholt,KCK,5109,London,Bromley,"88,397","97,726","104,641","106,606","101,590","94,285",[x],"142,520","157,505","220,874","269,464","275,804","269,744","288,636","323,398","366,818","320,504","343,130","287,418","272,732","238,892","254,816","250,766","41,220","111,124","137,294","169,548","188,588"
1361,Knottingley,KNO,8546,Yorkshire and The Humber,Wakefield,"55,102","66,471","75,318","63,626","41,842","56,078",[x],"85,416","114,703","119,937","129,353","162,338","155,536","172,500","165,900","141,140","154,944","158,116","165,706","171,476","155,026","156,730","172,172","51,188","136,180","150,422","159,950","156,292"
1362,Knucklas,KNU,4228,Wales,Powys - Powys,"3,512","2,865","2,333","2,789","2,997","3,189",[x],"4,010","3,581","3,273","4,621","4,572","3,644","3,998","4,994","4,504","4,778","4,928","4,120","3,670","3,454","3,548","4,212","1,054","2,114","2,634","3,050","4,156"
1363,Knutsford,KNF,2848,North West,Cheshire East,"223,125","224,044","225,511","215,880","203,691","170,042",[x],"217,018","241,382","249,812","291,232","311,214","304,404","361,624","398,942","454,158","500,434","493,650","510,840","513,422","501,798","466,788","446,400","121,324","272,804","321,962","338,318","371,236"
1364,Kyle Of Lochalsh,KYL,8657,Scotland,Highland,"40,592","46,944","48,585","43,998","36,662","41,243",[x],"44,263","44,770","46,749","48,290","52,672","60,164","60,528","66,272","66,828","67,278","64,256","65,706","62,704","65,182","60,606","57,786","7,858","40,702","46,634","53,584","46,788"
1365,Ladybank,LDY,9149,Scotland,Fife,"25,642","26,029","29,087","28,212","28,844","30,318",[x],"40,927","41,506","44,036","49,862","47,028","59,942","59,990","63,804","64,238","66,234","71,244","82,702","82,218","84,470","83,864","79,852","8,084","41,836","57,990","76,708","86,454"
1366,Ladywell,LAD,5057,London,Lewisham,"498,757","573,746","617,363","632,734","620,628","658,202",[x],"626,991","644,466","874,132","931,470","903,658","885,450","928,516","942,374","972,784","1,052,096","1,122,400","1,322,978","1,291,462","1,210,522","1,308,570","1,319,420","351,862","741,190","917,628","1,125,846","1,254,886"
1367,Laindon,LAI,7445,East of England,Basildon,"1,386,756","1,533,419","1,546,146","1,560,181","1,497,946","1,532,636",[x],"1,455,650","1,458,504","1,629,082","1,764,436","1,798,098","1,745,876","1,818,248","1,886,600","1,899,308","1,946,138","2,017,890","2,072,928","2,202,032","2,287,322","2,360,218","2,280,886","710,864","1,444,904","1,748,512","1,812,010","1,926,978"
1368,Lairg,LRG,8658,Scotland,Highland,"3,812","3,811","3,842","3,646","3,774","4,326",[x],"4,096","4,126","3,724","4,790","5,280","5,542","6,098","6,330","6,176","7,440","7,514","6,592","5,576","5,426","6,016","6,264",742,"2,960","3,348","4,180","3,978"
1369,Lake,LKE,5504,South East,Isle of Wight,"59,178","58,732","73,076","74,312","81,826","78,279",[x],"77,995","76,364","71,465","69,350","67,162","67,584","67,656","77,772","71,566","61,840","53,006","52,310","53,786","47,602","43,236","37,574","4,378","11,574","21,000","19,384","19,744"
1370,Lakenheath,LAK,7201,East of England,West Suffolk,694,640,552,443,226,190,[x],103,141,112,552,536,370,404,390,440,378,458,416,518,468,454,416,246,476,562,480,920
1371,Lamphey,LAM,4084,Wales,Pembrokeshire - Sir Benfro,"1,730","1,601","1,806","2,117","2,289","2,371",[x],"2,646","2,552","2,936","4,291","4,320","4,446","4,342","4,482","3,812","4,986","5,612","5,732","5,556","4,868","5,108","4,456",604,"3,128","3,820","4,820","5,862"
1372,Lanark,LNK,9710,Scotland,South Lanarkshire,"207,975","249,007","229,848","246,128","220,652","218,994",[x],"257,628","278,915","289,541","301,167","342,050","328,594","347,128","350,014","337,896","304,640","328,890","306,236","328,034","303,834","292,294","279,864","30,996","143,656","203,190","246,840","263,532"
1373,Lancaster,LAN,2685,North West,Lancaster,"1,051,133","1,098,475","1,154,174","1,131,960","1,150,536","1,115,448",[x],"1,270,227","1,317,299","1,395,832","1,498,353","1,559,994","1,656,070","1,787,698","1,835,462","1,850,772","1,915,446","2,004,122","2,033,538","2,146,796","2,142,834","2,122,814","2,193,066","521,432","1,659,362","1,830,070","1,963,884","2,184,042"
1374,Lancing,LAC,5275,South East,Adur,"574,005","604,809","642,408","596,054","648,793","679,075",[x],"729,086","743,942","757,591","800,641","815,700","833,380","910,826","951,982","971,730","987,478","999,790","966,792","751,372","887,946","964,160","996,868","389,120","731,542","819,954","848,972","979,620"
1375,Landywood,LAW,1017,West Midlands,South Staffordshire,"29,714","35,849","37,764","38,224","39,042","42,164",[x],"45,102","52,371","65,604","78,506","84,420","83,238","93,724","116,706","106,472","109,942","92,398","97,214","108,336","89,656","96,902","111,810","22,928","101,382","117,630","159,556","168,684"
1376,Langbank,LGB,9652,Scotland,Renfrewshire,"53,129","50,586","48,532","43,595","41,735","45,405",[x],"48,693","54,797","56,365","56,713","65,996","62,748","65,300","64,244","68,018","60,042","61,484","59,680","60,652","63,804","64,864","73,938","12,074","45,940","59,348","66,754","62,206"
1377,Langho,LHO,2735,North West,Ribble Valley,"18,483","15,673","15,835","16,853","17,011","16,397",[x],"22,713","26,239","23,999","24,935","26,072","31,872","37,234","40,376","49,710","48,082","46,058","35,734","43,996","37,526","37,850","45,706","13,634","33,688","39,650","37,956","36,914"
1378,Langley (Berks),LNY,3171,South East,Slough,"359,165","421,490","484,132","494,972","481,911","493,042",[x],"482,403","540,554","582,093","653,345","661,654","614,190","671,854","708,948","722,140","710,440","726,202","796,614","817,586","815,110","865,536","907,692","238,966","593,182","769,282","1,042,134","1,153,338"
1379,Langley Green,LGG,4607,West Midlands,Sandwell,"47,734","54,918","58,279","57,819","56,213","53,555",[x],"49,109","51,566","57,938","60,891","128,590","133,946","140,016","161,496","166,854","170,504","169,866","180,990","188,642","204,932","225,018","223,422","52,674","108,058","121,330","151,264","161,198"
1380,Langley Mill,LGM,1761,East Midlands,Amber Valley,"44,171","43,460","44,396","44,747","51,017","55,350",[x],"51,436","50,617","57,812","52,252","62,276","78,384","88,236","93,846","95,158","93,554","106,542","115,686","121,442","101,824","93,078","92,144","16,998","64,610","80,058","85,018","100,238"
1381,Langside,LGS,9818,Scotland,Glasgow City,"148,030","144,287","148,634","142,217","124,407","121,219",[x],"126,813","147,198","154,722","164,055","189,280","186,814","210,028","218,148","223,918","230,348","239,974","247,806","268,682","296,160","275,932","289,234","45,730","109,626","140,970","196,146","225,812"
