Sort,Station name,"Three Letter Code
(TLC)",National Location Code (NLC),Region,Local authority: district or unitary,Apr 1997 to Mar 1998,Apr 1998 to Mar 1999,Apr 1999 to Mar 2000,Apr 2000 to Mar 2001,Apr 2001 to Mar 2002,Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009,Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2020 to Mar 2021,Apr 2021 to Mar 2022,Apr 2022 to Mar 2023 [b],Apr 2023 to Mar 2024,Apr 2024 to Mar 2025
27,Addlestone,ASN,5550,South East,Runnymede,"225,081","210,893","255,128","220,552","193,263","174,214",[x],"213,203","238,419","286,262","387,906","402,728","391,926","378,412","365,758","371,196","381,748","406,790","423,444","429,204","429,944","431,860","391,634","96,206","239,190","271,684","330,652","382,112"
28,Adisham,ADM,5160,South East,Canterbury,"44,479","55,698","58,001","49,469","49,431","49,241",[x],"53,898","53,857","58,776","55,873","49,002","45,560","36,938","32,046","28,388","24,058","22,374","21,454","21,218","25,584","27,600","27,624","7,368","19,464","23,470","26,744","26,556"
29,Adlington (Cheshire),ADC,2939,North West,Cheshire East,"14,883","14,219","13,766","14,492","14,351","12,596",[x],"12,318","16,194","16,050","15,974","16,224","13,618","15,852","16,822","20,252","20,736","23,174","28,390","30,316","33,152","31,390","27,278","5,114","17,284","18,782","26,046","24,710"
30,Adlington (Lancashire),ADL,2641,North West,Chorley,"87,459","81,925","92,456","99,256","93,030","74,122",[x],"79,777","82,138","83,270","94,043","91,126","94,610","104,910","109,978","109,400","109,672","110,902","115,786","122,514","114,488","102,646","134,180","29,544","80,814","105,040","142,894","166,760"
31,Adwick,AWK,8353,Yorkshire and The Humber,Doncaster,"88,633","135,959","161,888","137,124","118,995","115,496",[x],"176,479","175,754","156,826","160,541","253,986","244,904","247,964","257,886","248,084","180,132","193,960","205,618","197,926","186,818","170,790","183,614","26,534","109,004","121,204","142,938","175,978"
32,Aigburth,AIG,2255,North West,Liverpool,"135,081","142,020","150,190","141,935","133,724","146,283",[x],"179,458","241,063","246,583","265,442","761,362","696,992","681,774","702,378","614,374","686,496","746,784","833,452","812,582","743,410","864,238","974,200","203,034","483,488","567,018","638,404","597,462"
33,Ainsdale,ANS,2350,North West,Sefton,"222,180","235,701","254,934","229,607","190,467","210,317",[x],"289,260","322,911","328,423","345,791","998,438","955,328","972,616","960,772","899,420","956,960","983,858","1,004,554","1,023,510","928,028","1,016,242","1,127,850","321,382","768,028","920,626","947,558","892,242"
34,Aintree,AIN,2125,North West,Sefton,"236,070","244,779","267,449","255,994","242,879","284,514",[x],"388,230","376,908","412,132","473,143","1,251,404","1,173,276","1,197,258","1,147,296","1,078,704","1,141,532","1,084,348","1,059,602","1,048,614","1,093,656","1,175,920","1,295,348","301,632","725,908","841,662","908,962","977,074"
35,Airbles,AIR,9695,Scotland,North Lanarkshire,"42,628","46,086","48,240","45,936","38,034","41,145",[x],"62,000","78,562","89,219","94,205","107,524","104,490","107,862","110,164","113,582","112,842","119,128","126,986","142,930","132,762","114,442","118,856","14,100","64,168","79,500","110,728","109,620"
36,Airdrie,ADR,9759,Scotland,North Lanarkshire,"693,943","801,247","846,475","876,267","844,172","802,342",[x],"909,986","952,361","994,172","988,115","1,067,384","1,054,910","1,191,156","1,158,642","1,154,032","1,079,692","1,104,190","1,074,866","1,086,244","1,118,132","1,098,012","1,009,104","121,496","476,662","632,798","774,562","809,690"
37,Albany Park,AYP,5132,London,Bexley,"606,093","630,154","646,157","674,820","700,933","725,138",[x],"727,796","764,994","937,865","964,636","969,360","919,586","913,852","917,874","945,350","990,096","1,048,330","991,150","966,726","954,906","1,006,946","972,604","213,044","509,626","622,490","660,904","775,024"
38,Albrighton,ALB,4614,West Midlands,Shropshire,"42,633","47,748","37,464","40,970","48,972","45,818",[x],"44,289","49,847","56,118","63,997","77,216","77,240","79,232","104,902","87,842","89,358","89,410","95,322","99,380","98,872","101,548","99,316","16,886","56,078","69,556","91,340","92,196"
39,Alderley Edge,ALD,2760,North West,Cheshire East,"138,171","135,491","126,774","118,007","121,050","112,810",[x],"107,650","108,065","90,999","154,606","172,716","179,378","202,426","219,064","219,660","230,422","234,174","258,178","284,804","293,432","297,470","288,104","72,348","197,016","226,692","239,442","244,220"
40,Aldermaston,AMT,3145,South East,West Berkshire,"44,391","45,571","45,642","48,318","44,317","43,919",[x],"39,027","46,297","56,846","61,587","64,800","65,014","61,292","63,784","68,218","77,452","74,846","81,968","88,988","83,162","73,942","82,758","18,622","45,004","50,602","57,022","71,290"
41,Aldershot,AHT,5623,South East,Rushmoor,"855,586","919,926","953,092","1,021,168","966,715","1,023,032",[x],"1,121,499","1,196,067","1,277,324","1,415,479","1,441,470","1,406,724","1,492,704","1,469,676","1,448,130","1,401,204","1,434,250","1,465,212","1,437,614","1,394,782","1,367,252","1,283,830","364,844","888,372","1,093,476","1,229,064","1,371,112"
42,Aldrington,AGT,5280,South East,Brighton and Hove,"63,843","78,043","85,544","83,580","95,840","91,941",[x],"106,528","118,419","129,227","149,340","150,928","157,872","169,266","191,532","214,852","226,936","227,204","236,458","185,874","193,956","206,968","224,798","58,282","122,640","127,810","139,908","169,826"
43,Alexandra Palace,AAP,6025,London,Haringey,"412,146","476,131","515,642","491,852","523,460","592,357",[x],"609,875","692,845","1,042,833","1,310,940","1,057,712","1,063,484","1,114,960","1,157,296","1,197,166","1,282,462","1,419,852","1,685,542","1,621,664","1,769,736","1,843,648","1,735,976","409,034","969,372","1,340,050","1,595,988","1,855,806"
44,Alexandra Parade,AXP,9905,Scotland,Glasgow City,"20,211","26,072","65,298","82,836","66,252","48,028",[x],"83,750","105,590","99,311","106,276","128,474","142,610","157,348","182,226","193,932","245,666","272,470","312,032","322,264","364,924","418,768","392,600","59,874","199,742","263,714","362,228","343,914"
45,Alexandria,ALX,9861,Scotland,West Dunbartonshire,"274,790","337,257","335,803","308,072","285,191","270,904",[x],"276,238","305,459","294,563","298,266","333,302","343,238","346,556","348,418","357,744","347,056","359,874","344,530","307,348","278,932","244,378","233,278","26,080","111,434","148,340","176,956","185,556"
46,Alfreton,ALF,1805,East Midlands,Amber Valley,"118,610","123,980","136,838","133,537","147,582","143,092",[x],"150,999","153,909","156,614","134,946","158,850","187,552","205,306","212,016","224,866","241,066","269,698","282,880","292,130","294,758","314,464","311,030","61,690","245,910","289,838","316,196","382,994"
47,Allens West,ALW,7520,North East,Stockton-on-Tees,"28,475","31,938","37,221","39,146","41,386","45,197",[x],"51,087","69,438","67,465","71,940","66,958","59,296","59,174","63,630","62,030","59,066","59,316","63,190","65,414","64,792","65,136","66,766","16,258","58,750","73,166","85,356","99,646"
48,Allerton,[z],[z],[z],[z],"13,180","10,544","11,781","11,326","9,718","7,731",[x],"11,443","4,693",[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z]
49,Alloa,ALO,9883,Scotland,Clackmannanshire,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],"335,654","390,072","394,326","401,150","380,864","383,786","402,402","386,528","360,596","388,194","370,452","393,360","70,732","258,994","355,280","496,520","528,768"
50,Alness,ASS,8605,Scotland,Highland,"2,221","2,275","1,917","2,788","2,530","3,717",[x],"6,950","7,633","9,822","11,550","13,722","14,306","17,782","25,498","28,384","27,796","25,934","23,614","26,376","29,272","30,426","27,050","3,220","15,810","16,804","20,928","20,482"
51,Alnmouth,ALM,7787,North East,Northumberland,"72,864","83,956","92,305","91,053","89,266","86,436",[x],"134,902","165,049","172,170","181,912","197,222","192,380","214,230","256,176","257,702","283,233","305,104","294,042","312,452","339,814","344,602","344,862","61,222","285,882","331,064","353,254","378,954"
52,Alresford (Essex),ALR,6847,East of England,Tendring,"51,480","44,769","46,313","47,552","51,377","49,436",[x],"49,386","45,144","48,966","46,833","50,888","56,012","62,516","58,734","57,342","57,480","62,098","68,436","69,720","61,752","62,994","65,602","15,816","47,180","63,450","85,564","97,088"
53,Alsager,ASG,1223,North West,Cheshire East,"41,649","41,990","36,544","31,690","30,219","25,350",[x],"22,297","25,998","32,216","36,529","35,342","56,290","74,474","85,408","87,974","98,046","96,292","101,794","111,016","112,588","116,446","128,254","27,572","77,184","94,622","101,420","115,024"
54,Althorne (Essex),ALN,6869,East of England,Maldon,"61,258","48,599","53,493","49,583","43,432","42,177",[x],"43,158","39,640","34,042","46,917","42,418","35,084","36,708","37,012","38,346","43,006","45,346","41,456","44,538","40,788","43,816","39,690","6,736","18,576","21,908","29,314","33,650"
55,Althorpe,ALP,6532,Yorkshire and The Humber,North Lincolnshire,"5,143","5,681","5,006","4,408","3,322","2,783",[x],"5,490","6,660","7,428","9,853","8,906","6,700","8,430","9,296","8,476","6,404","10,086","11,894","10,702","9,816","7,978","9,752","2,048","4,488","1,408","3,294","3,816"
56,Altnabreac,ABC,8606,Scotland,Highland,98,61,58,121,149,93,[x],164,171,222,177,212,156,172,238,296,138,240,312,356,658,408,232,46,230,280,250,[z]
57,Alton,AON,5544,South East,East Hampshire,"380,289","394,270","412,480","430,338","391,228","400,944",[x],"480,790","498,254","548,291","625,926","650,674","706,582","720,478","717,170","720,584","697,306","744,138","753,202","716,162","710,322","711,292","679,324","133,396","386,882","496,032","544,058","590,922"
58,Altrincham,ALT,2806,North West,Trafford,"212,746","203,942","198,719","192,583","183,800","146,100",[x],"193,755","210,021","223,338","282,958","260,882","264,932","476,526","462,640","479,878","474,362","407,836","507,592","568,734","458,224","396,832","372,682","69,168","222,136","247,514","273,008","316,474"
59,Alvechurch,ALV,1198,West Midlands,Bromsgrove,"62,955","80,110","67,124","67,479","68,306","68,407",[x],"76,963","94,044","94,100","94,129","135,048","137,862","137,552","161,392","151,628","159,572","144,824","167,154","188,536","198,152","199,862","179,964","32,418","91,124","123,554","151,042","163,368"
60,Ambergate,AMB,1678,East Midlands,Amber Valley,"24,220","24,391","23,673","22,784","21,632","18,532",[x],"18,655","19,006","17,222","19,807","25,868","35,842","39,600","39,952","38,444","39,848","39,122","41,506","46,890","46,552","41,130","41,552","8,956","27,852","33,162","34,922","39,004"
61,Amberley,AMY,5250,South East,Horsham,"27,356","30,366","32,675","34,519","31,039","35,010",[x],"33,103","34,295","38,292","40,397","48,570","49,006","48,994","61,468","60,674","58,738","58,380","57,828","50,596","53,704","60,296","59,806","17,084","44,318","60,580","70,836","89,218"
62,Amersham,AMR,506,South East,Buckinghamshire,[z],[z],[z],[z],[z],[z],[z],[z],[z],"1,805,767","1,510,922","1,059,766","1,218,936","1,713,718","1,784,008","2,035,452","2,164,370","2,133,978","1,944,310","1,958,866","1,940,360","1,991,780","2,067,212","450,702","1,140,340","1,563,462","1,766,908","1,892,926"
63,Ammanford,AMF,4236,Wales,Carmarthenshire - Sir Gaerfyrddin,"8,094","8,614","9,006","9,702","10,436","13,928",[x],"17,463","14,627","12,163","14,782","16,506","17,524","19,256","18,892","20,412","19,912","20,238","18,968","19,428","19,934","19,596","18,016",556,"7,348","11,010","16,062","23,694"
64,Ancaster,ANC,6358,East Midlands,South Kesteven,"4,303","3,165","2,883","4,829","5,203","6,155",[x],"4,468","4,641","6,109","5,238","4,652","3,764","4,388","4,042","7,408","8,878","9,910","7,356","7,162","6,572","5,904","5,006","1,798","6,160","7,548","5,484","5,532"
65,Anderston,AND,9965,Scotland,Glasgow City,"115,292","163,047","171,600","196,152","184,646","163,967",[x],"240,667","340,728","381,946","428,595","561,906","551,894","576,912","647,182","630,822","602,826","633,668","624,644","661,282","711,556","728,408","715,074","119,942","217,646","228,506","368,574","419,400"
66,Andover,ADV,5510,South East,Test Valley,"588,571","632,178","690,449","760,806","785,952","833,452",[x],"982,255","990,989","1,014,898","1,041,364","1,070,908","1,030,838","1,089,684","1,135,300","1,123,736","1,179,202","1,178,074","1,205,858","1,225,902","1,198,536","1,232,336","1,152,576","267,620","709,312","921,726","1,023,710","1,141,420"
